"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 13 19:56:23 CST 2019","Mon May 13 19:56:25 CST 2019","2021","TestScript","test_advanced_application","Test_Advanced_Application","","","test_get_data",""
"passed","Mon May 13 19:57:28 CST 2019","Mon May 13 19:57:28 CST 2019","3","TestScript","test_advanced_application","Test_Advanced_Application","","","test_simulate_keyboard",""
"broken","Mon May 13 19:56:35 CST 2019","Mon May 13 19:56:37 CST 2019","2017","TestScript","test_advanced_application","Test_Advanced_Application","","","test_insert_data",""
"passed","Mon May 13 19:56:03 CST 2019","Mon May 13 19:56:17 CST 2019","13982","TestScript","test_advanced_application","Test_Advanced_Application","","","test_cookies",""
"broken","Mon May 13 19:56:17 CST 2019","Mon May 13 19:56:19 CST 2019","2005","TestScript","test_advanced_application","Test_Advanced_Application","","","test_create_database",""
"passed","Mon May 13 19:59:13 CST 2019","Mon May 13 19:59:27 CST 2019","14627","TestScript","test_advanced_application","Test_Advanced_Application","","","test_upload_by_sendkeys",""
"broken","Mon May 13 19:58:21 CST 2019","Mon May 13 19:58:27 CST 2019","6360","TestScript","test_advanced_application","Test_Advanced_Application","","","test_switch_to_prompt",""
"broken","Mon May 13 19:56:03 CST 2019","Mon May 13 19:56:03 CST 2019","1","TestScript","test_advanced_application","Test_Advanced_Application","","","test_control_browser",""
"passed","Mon May 13 19:57:28 CST 2019","Mon May 13 19:57:41 CST 2019","12834","TestScript","test_advanced_application","Test_Advanced_Application","","","test_simulate_mouse",""
"passed","Mon May 13 19:55:41 CST 2019","Mon May 13 19:55:54 CST 2019","12479","TestScript","Test_Baidu_Main_Page","Search_Page","","","test_search_davieyang",""
"broken","Mon May 13 19:58:16 CST 2019","Mon May 13 19:58:20 CST 2019","4427","TestScript","test_advanced_application","Test_Advanced_Application","","","test_switch_to_confirm",""
"broken","Mon May 13 19:58:27 CST 2019","Mon May 13 19:58:41 CST 2019","14405","TestScript","test_advanced_application","Test_Advanced_Application","","","test_switch_window_handle",""
"passed","Mon May 13 19:58:58 CST 2019","Mon May 13 19:59:13 CST 2019","14719","TestScript","test_advanced_application","Test_Advanced_Application","","","test_upload_by_autoit",""
"passed","Mon May 13 19:57:28 CST 2019","Mon May 13 19:57:28 CST 2019","22","TestScript","test_advanced_application","Test_Advanced_Application","","","test_simulate_clipboard",""
"passed","Mon May 13 19:59:27 CST 2019","Mon May 13 20:00:00 CST 2019","32417","TestScript","test_advanced_application","Test_Advanced_Application","","","test_upload_by_simulation",""
"passed","Mon May 13 20:00:02 CST 2019","Mon May 13 20:00:08 CST 2019","6302","TestScript","test_advanced_application","Test_Advanced_Application","","","test_wait",""
"broken","Mon May 13 19:58:41 CST 2019","Mon May 13 19:58:58 CST 2019","16457","TestScript","test_advanced_application","Test_Advanced_Application","","","test_table_util",""
"passed","Mon May 13 19:56:37 CST 2019","Mon May 13 19:56:59 CST 2019","21994","TestScript","test_advanced_application","Test_Advanced_Application","","","test_js",""
"passed","Mon May 13 19:56:25 CST 2019","Mon May 13 19:56:35 CST 2019","9333","TestScript","test_advanced_application","Test_Advanced_Application","","","test_get_log",""
"passed","Mon May 13 19:56:59 CST 2019","Mon May 13 19:57:28 CST 2019","29154","TestScript","test_advanced_application","Test_Advanced_Application","","","test_select",""
"broken","Mon May 13 19:56:21 CST 2019","Mon May 13 19:56:23 CST 2019","2014","TestScript","test_advanced_application","Test_Advanced_Application","","","test_create_table",""
"broken","Mon May 13 19:58:04 CST 2019","Mon May 13 19:58:16 CST 2019","11513","TestScript","test_advanced_application","Test_Advanced_Application","","","test_switch_to_alert",""
"broken","Mon May 13 19:57:41 CST 2019","Mon May 13 19:58:02 CST 2019","21207","TestScript","test_advanced_application","Test_Advanced_Application","","","test_switch_iframe",""
"passed","Mon May 13 19:55:54 CST 2019","Mon May 13 19:56:03 CST 2019","8960","TestScript","Test_Baidu_Main_Page_Plus","Search_Page","","","test_search_davieyang",""
